iter	RMSE
365	4.615714152
366	4.612628276
367	4.608966742
368	4.607190735
369	4.606697965
370	4.604610325
371	4.601170854
372	4.598785385
373	4.595220612
374	4.592881742
375	4.589431295
376	4.586399469
377	4.584511629
378	4.582826103
379	4.580407617
380	4.577928877
381	4.576959773
382	4.575607443
383	4.57427831
384	4.57378793
385	4.569902977
386	4.567905044
387	4.567332891
388	4.564572588
389	4.563585184
390	4.562410258
391	4.56094141
392	4.558847658
393	4.556608802
394	4.554449767
395	4.552572463
396	4.549784072
397	4.548377606
398	4.546662013
399	4.544529206
400	4.539313763
401	4.538226308
402	4.537007499
403	4.532153433
404	4.529579002
405	4.527516423
406	4.52688969
407	4.524313723
408	4.522010282
409	4.520591777
410	4.520080278
411	4.518516911
412	4.515699337
413	4.513483055
414	4.51095583
415	4.507946196
416	4.507507254
417	4.507229185
418	4.506257176
419	4.505995905
420	4.502126326
421	4.499721002
422	4.499292808
423	4.49464357
424	4.494391431
425	4.494004234
426	4.492252978
427	4.487094231
428	4.484837152
429	4.480470005
430	4.477925816
431	4.477122539
432	4.474569298
433	4.474276026
434	4.472284797
435	4.472080226
436	4.471742154
437	4.471113902
438	4.471001467
439	4.467902269
440	4.466979521
441	4.466714213
442	4.465071422
443	4.464186504
444	4.462176198
445	4.461706547
446	4.460967704
447	4.458539538
448	4.458145037
449	4.456581267
450	4.455552849
451	4.454763475
452	4.451630182
453	4.449395671
454	4.448524862
455	4.447065177
456	4.445202748
457	4.443594492
458	4.443230218
459	4.443055941
460	4.439530612
461	4.438319145
462	4.437983022
463	4.435136594
464	4.433019773
465	4.431073143
466	4.429628597
467	4.429209294
468	4.427441766
469	4.426593513
470	4.424487802
471	4.42154084
472	4.420203818
473	4.417539239
474	4.417153358
475	4.415475796
476	4.412859822
477	4.41075905
478	4.408672783
479	4.407333982
480	4.406637029
481	4.402475564
482	4.401953187
483	4.400939802
484	4.397238236
485	4.397104779
486	4.395199842
487	4.392632162
488	4.389528048
489	4.389226148
490	4.388647692
491	4.387696904
492	4.385437474
493	4.38298327
494	4.381098439
495	4.380889925
496	4.378787899
497	4.377728534
498	4.375995937
499	4.373534103
500	4.367121827
501	4.366517159
502	4.364874945
503	4.363239659
504	4.363089724
505	4.361514923
506	4.358291182
507	4.356913194
508	4.353822136
509	4.351892814
510	4.351001094
511	4.350073606
512	4.349067512
513	4.348744939
514	4.348265481
515	4.347895253
516	4.345942874
517	4.343983653
518	4.341802587
519	4.341432075
520	4.340007748
521	4.338131712
522	4.336549425
523	4.335798232
524	4.334887693
525	4.334677632
526	4.332831143
527	4.331170283
528	4.330589678
529	4.32892214
530	4.328655645
531	4.328140049
532	4.324989159
533	4.323206485
534	4.32205703
535	4.319752757
536	4.317674129
537	4.315285984
538	4.314509288
539	4.312837499
540	4.310993839
541	4.309974572
542	4.307795693
543	4.306353061
544	4.303913781
545	4.303664789
546	4.301105092
547	4.300788762
548	4.29924565
549	4.297892391
550	4.296481358
551	4.296235939
552	4.295685449
553	4.293379621
554	4.293127546
555	4.291098183
556	4.289911837
557	4.286609137
558	4.285482536
559	4.284229127
560	4.282262129
561	4.281439907
562	4.279301829
563	4.276246516
564	4.276010106
565	4.274397825
566	4.272464463
567	4.26913003
568	4.267046799
569	4.266690316
570	4.265126628
571	4.263863866
572	4.26371303
573	4.26237467
574	4.261032756
575	4.259838939
576	4.25945292
577	4.257081444
578	4.254522638
579	4.251402127
580	4.250868033
581	4.250389031
582	4.248726899
583	4.247046701
584	4.2435716
585	4.239464672
586	4.239263563
587	4.238848718
588	4.238221435
589	4.237841503
590	4.234675621
591	4.233729173
592	4.231810829
593	4.229734193
594	4.226966864
595	4.22570863
596	4.225274954
597	4.223743175
598	4.221992896
599	4.220397306
600	4.218720097
601	4.216639628
602	4.213719215
603	4.211538041
604	4.211213732
605	4.211082395
606	4.208480256
607	4.208364492
608	4.208168838
609	4.206423708
610	4.206186704
611	4.203995202
612	4.20380857
613	4.203456716
614	4.201929846
615	4.199747119
616	4.199638876
617	4.198804944
618	4.196486482
619	4.19569933
620	4.19551363
621	4.193867005
622	4.192103493
623	4.19187747
624	4.191635476
625	4.191237674
626	4.190253566
627	4.187479566
628	4.186256909
629	4.183859143
630	4.180248343
631	4.179554635
632	4.178776814
633	4.175539673
634	4.174159197
635	4.172726576
636	4.171426496
637	4.170586246
638	4.169765748
639	4.169546341
640	4.16793705
641	4.165669534
642	4.164362311
643	4.163745591
644	4.161946235
645	4.160826879
646	4.159625348
647	4.158576834
648	4.156743327
649	4.15581584
650	4.154357109
651	4.151905025
652	4.150560907
653	4.149072233
654	4.148327839
655	4.147523668
656	4.145268218
657	4.144378798
658	4.143390421
659	4.142200962
660	4.141996886
661	4.14083813
662	4.140327166
663	4.139921914
664	4.13884674
665	4.137034735
666	4.131556154
667	4.131199993
668	4.129327936
669	4.128798404
670	4.127835686
671	4.127087565
672	4.125497536
673	4.124172588
674	4.124003652
675	4.122346167
676	4.120873949
677	4.115764791
678	4.115602479
679	4.115095968
680	4.111239742
681	4.109766767
682	4.108592129
683	4.106595192
684	4.105968852
685	4.105520027
686	4.104986384
687	4.103662193
688	4.102448478
689	4.102288153
690	4.100565196
691	4.099690711
692	4.099417973
693	4.098710786
694	4.097475629
695	4.096934788
696	4.095595006
697	4.095034832
698	4.093975956
699	4.092538913
700	4.08776032
701	4.086990665
702	4.08546321
703	4.082570274
704	4.07943519
705	4.078166043
706	4.078073146
707	4.076851974
708	4.075746149
709	4.074260112
710	4.069951274
711	4.069364721
712	4.067601353
713	4.067027938
714	4.065929664
715	4.064751134
716	4.063287185
717	4.061931857
718	4.060465618
719	4.059960908
720	4.059626829
721	4.059538062
722	4.056561447
723	4.055198693
724	4.05428741
725	4.053510724
726	4.052134558
727	4.050597756
728	4.048893259
729	4.045937858
730	4.045107745
731	4.043876454
732	4.043415355
733	4.043330391
734	4.043178069
735	4.041489309
736	4.040385603
737	4.040307728
738	4.038632563
739	4.038484132
740	4.037555526
741	4.034611237
742	4.033302757
743	4.032990692
744	4.032253909
745	4.030340214
746	4.028811889
747	4.028167081
748	4.027205009
749	4.02528221
750	4.023640463
751	4.023526779
752	4.019301079
753	4.017262833
754	4.016169272
755	4.016098544
756	4.012186803
757	4.01077653
758	4.009470593
759	4.008598955
760	4.007263075
761	4.007031233
762	4.005734247
763	4.00303496
764	4.000494092
765	3.999462834
766	3.999395144
767	3.997657556
768	3.996728903
769	3.995624075
770	3.994453104
771	3.993752379
772	3.991923379
773	3.989286374
774	3.987747858
775	3.98760792
776	3.985917681
777	3.984351347
778	3.982431673
779	3.9818417
780	3.980804419
781	3.979973766
782	3.979587549
783	3.975357702
784	3.973925745
785	3.970514671
786	3.966928685
787	3.965429718
788	3.964438835
789	3.963041996
790	3.960382921
791	3.959951785
792	3.958796812
793	3.958669707
794	3.957778717
795	3.957565735
796	3.956476222
797	3.955318562
798	3.955005211
799	3.953455651
800	3.95223724
801	3.949554172
802	3.948677179
803	3.948606524
804	3.945847127
805	3.944570215
806	3.941700711
807	3.940466394
808	3.939588598
809	3.938762519
810	3.938380933
811	3.936563593
812	3.935369795
813	3.93298593
814	3.930909363
815	3.930848122
816	3.929489862
817	3.928465648
818	3.927465166
819	3.925033032
820	3.922730644
821	3.921846342
822	3.921026877
823	3.920761996
824	3.918815768
825	3.918069123
826	3.917469241
827	3.914821487
828	3.91424359
829	3.913887959
830	3.912948813
831	3.909696267
832	3.909563138
833	3.907507965
834	3.907083669
835	3.906588044
836	3.905657144
837	3.904008261
838	3.902566319
839	3.902421084
840	3.898736972
841	3.898527458
842	3.897672215
843	3.895007869
844	3.892840401
845	3.892554024
846	3.890758635
847	3.890702952
848	3.890000018
849	3.889018858
850	3.886812428
851	3.886764877
852	3.885277778
853	3.883416478
854	3.883296578
855	3.88142732
856	3.878506289
857	3.876819713
858	3.875983421
859	3.874943824
860	3.873488292
861	3.872931133
862	3.871907361
863	3.870886551
864	3.869316022
865	3.868643364
866	3.867520449
867	3.866701818
868	3.86611161
869	3.865505219
870	3.864895432
871	3.864328285
872	3.861920644
873	3.859973204
874	3.857481914
875	3.85651741
876	3.856255478
877	3.85467486
878	3.854614695
879	3.853679119
880	3.853594037
881	3.850404244
882	3.848606752
883	3.847557649
884	3.847238502
885	3.845588477
886	3.844563115
887	3.84342911
888	3.842071528
889	3.840568892
890	3.840113929
891	3.838482513
892	3.8371775
893	3.836405592
894	3.833648269
895	3.831324565
896	3.830513073
897	3.829648617
898	3.829225762
899	3.828288028
900	3.826821872
901	3.824506002
902	3.824359091
903	3.822732506
904	3.821853525
905	3.820444496
906	3.820061548
907	3.819943187
908	3.818420719
909	3.817735859
910	3.817687019
911	3.816892121
912	3.816444349
913	3.814494097
914	3.813715692
915	3.811507223
916	3.811071985
917	3.809015797
918	3.808247501
919	3.806729445
920	3.806288728
921	3.805969924
922	3.803378016
923	3.799855251
924	3.799062281
925	3.797640816
926	3.796296463
927	3.796244496
928	3.795407669
929	3.793316364
930	3.793268238
931	3.791998735
932	3.789035222
933	3.788656911
934	3.787294906
935	3.78650051
936	3.786385482
937	3.786133505
938	3.785135056
939	3.785077712
940	3.784699095
941	3.783813514
942	3.783531648
943	3.781812312
944	3.781128722
945	3.77950627
946	3.779183888
947	3.776813699
948	3.775967984
949	3.775769335
950	3.774212179
951	3.774118098
952	3.773427447
953	3.771838492
954	3.771448254
955	3.769862433
956	3.768783221
957	3.7684249
958	3.768135687
959	3.764955995
960	3.764081836
961	3.763389613
962	3.762841366
963	3.760336023
964	3.759465653
965	3.758859362
966	3.758518421
967	3.757348063
968	3.7572853
969	3.756163686
970	3.753390303
971	3.752810659
972	3.750765018
973	3.75041071
974	3.749253257
975	3.747913119
976	3.746166245
977	3.745161082
978	3.744547717
979	3.743636678
980	3.743264772
981	3.741796709
982	3.741751846
983	3.740885838
984	3.738934527
985	3.738897023
986	3.738346133
987	3.737950354
988	3.735789584
989	3.735751525
990	3.735275383
991	3.734168804
992	3.734038169
993	3.732539846
994	3.730809303
995	3.730223022
996	3.729486515
997	3.728670311
998	3.728608461
999	3.725877743
